"","x"
"1",2
"2",3
"3",2
"4",7
"5",4
"6",-1
"7",8
"8",2
"9",7
"10",4
"11",1
"12",3
"13",7
"14",2
"15",7
"16",4
"17",8
"18",11
"19",-3
"20",6
"21",2
"22",5
"23",0
"24",2
"25",8
"26",5
"27",-1
"28",0
"29",8
"30",0
"31",6
"32",1
"33",5
"34",7
"35",10
"36",4
"37",8
"38",5
"39",6
"40",5
"41",5
"42",7
"43",0
"44",1
"45",2
"46",5
"47",3
"48",3
"49",1
"50",3
"51",5
"52",2
"53",10
"54",4
"55",8
"56",8
"57",1
"58",1
"59",1
"60",4
"61",7
"62",1
"63",2
"64",4
"65",2
"66",4
"67",6
"68",6
"69",-8
"70",15
"71",-3
"72",6
"73",3
"74",6
"75",6
"76",6
"77",2
"78",1
"79",3
"80",7
"81",10
"82",-1
"83",4
"84",-1
"85",3
"86",2
"87",2
"88",2
"89",8
"90",2
"91",7
"92",2
"93",3
"94",4
"95",4
"96",2
"97",2
"98",2
"99",11
"100",2
"101",3
"102",0
"103",8
"104",6
"105",0
"106",3
"107",2
"108",19
"109",6
"110",-4
"111",12
"112",-3
"113",5
"114",-2
"115",4
"116",0
"117",6
"118",9
"119",4
"120",3
"121",3
"122",5
"123",3
"124",5
"125",3
"126",4
"127",9
"128",5
"129",7
"130",4
"131",-10
"132",-3
"133",14
"134",-4
"135",1
"136",5
"137",-5
"138",8
"139",4
"140",4
"141",4
"142",0
"143",5
"144",2
"145",5
"146",2
"147",10
"148",3
"149",12
"150",2
"151",3
"152",0
"153",4
"154",5
"155",1
"156",2
"157",4
"158",6
"159",3
"160",-3
"161",1
"162",15
"163",-16
"164",39
"165",-3
"166",11
"167",6
"168",11
"169",5
"170",0
"171",-6
"172",0
"173",8
"174",0
"175",8
"176",1
"177",3
"178",2
"179",7
"180",1
"181",9
"182",1
"183",3
"184",3
"185",11
"186",2
"187",4
"188",3
"189",6
"190",4
"191",2
"192",5
"193",6
"194",6
"195",5
"196",7
"197",2
"198",-2
"199",5
"200",7
"201",7
"202",2
"203",6
"204",7
"205",2
"206",6
"207",9
"208",6
"209",2
"210",3
"211",0
"212",4
"213",5
"214",4
"215",5
"216",2
"217",2
"218",5
"219",5
"220",14
"221",3
"222",-1
"223",-10
"224",7
"225",-3
"226",12
"227",24
"228",14
"229",4
"230",9
"231",6
"232",-4
"233",3
"234",10
"235",1
"236",17
"237",2
"238",3
"239",14
"240",7
"241",4
"242",4
"243",2
"244",1
"245",-9
"246",-1
"247",6
"248",12
"249",-12
"250",5
"251",10
"252",1
"253",7
"254",6
"255",0
"256",3
"257",4
"258",3
"259",6
"260",1
"261",14
"262",9
"263",8
"264",5
"265",0
"266",8
"267",4
"268",0
"269",3
"270",5
"271",1
"272",0
"273",6
"274",-4
"275",-3
"276",-1
"277",5
"278",1
"279",0
"280",5
"281",6
"282",4
"283",7
"284",2
"285",1
"286",4
"287",7
"288",2
"289",13
"290",5
"291",7
"292",5
"293",6
"294",4
"295",5
"296",12
"297",2
"298",9
"299",-4
"300",3
"301",6
"302",2
"303",4
"304",0
"305",4
"306",9
"307",6
"308",2
"309",4
"310",-1
"311",5
"312",4
"313",6
"314",9
"315",1
"316",3
"317",6
"318",15
"319",8
"320",-11
"321",-1
"322",10
"323",4
"324",0
"325",5
"326",0
"327",7
"328",8
"329",5
"330",8
"331",6
"332",1
"333",8
"334",4
"335",-2
"336",5
"337",6
"338",5
"339",6
"340",2
"341",10
"342",6
"343",5
"344",8
"345",9
"346",3
"347",4
"348",8
"349",8
"350",3
"351",4
"352",4
"353",5
"354",-12
"355",3
"356",4
"357",-6
"358",3
"359",1
"360",6
"361",14
"362",-9
"363",14
"364",11
"365",3
"366",4
"367",7
"368",5
"369",1
"370",12
"371",3
"372",-2
"373",2
"374",0
"375",6
"376",6
"377",2
"378",5
"379",9
"380",5
"381",2
"382",-1
"383",2
"384",5
"385",4
"386",1
"387",13
"388",5
"389",-8
"390",1
"391",1
"392",5
"393",3
"394",6
"395",4
"396",9
"397",7
"398",1
"399",3
"400",5
"401",5
"402",1
"403",2
"404",6
"405",3
"406",4
"407",9
"408",2
"409",6
"410",8
"411",4
"412",5
"413",0
"414",5
"415",6
"416",1
"417",3
"418",6
"419",2
"420",5
"421",5
"422",5
"423",7
"424",8
"425",6
"426",7
"427",1
"428",5
"429",-1
"430",6
"431",6
"432",1
"433",0
"434",3
"435",6
"436",8
"437",5
"438",4
"439",3
"440",1
"441",-1
"442",4
"443",10
"444",4
"445",5
"446",-2
"447",0
"448",1
"449",4
"450",3
"451",5
"452",-1
"453",-1
"454",6
"455",7
"456",5
"457",3
"458",4
"459",3
"460",-1
"461",2
"462",6
"463",-10
"464",17
"465",4
"466",5
"467",2
"468",4
"469",5
"470",2
"471",3
"472",6
"473",1
"474",3
"475",8
"476",0
"477",9
"478",7
"479",3
"480",3
"481",5
"482",6
"483",4
"484",0
"485",3
"486",2
"487",-2
"488",5
"489",8
"490",8
"491",7
"492",10
"493",4
"494",3
"495",4
"496",7
"497",3
"498",6
"499",-1
"500",7
"501",3
"502",4
"503",4
"504",6
"505",1
"506",-1
"507",3
"508",2
"509",-4
"510",-3
"511",1
"512",3
"513",3
"514",7
"515",7
"516",6
"517",-2
"518",3
"519",8
"520",5
"521",3
"522",7
"523",2
"524",7
"525",1
"526",6
"527",4
"528",-1
"529",-22
"530",7
"531",10
"532",3
"533",2
"534",-2
"535",8
"536",10
"537",12
"538",7
"539",5
"540",5
"541",5
"542",3
"543",1
"544",7
"545",2
"546",6
"547",1
"548",6
"549",8
"550",6
"551",6
"552",9
"553",4
"554",-2
"555",1
"556",12
"557",9
"558",3
"559",9
"560",1
"561",3
"562",4
"563",4
"564",4
"565",0
"566",2
"567",0
"568",-2
"569",0
"570",5
"571",4
"572",8
"573",7
"574",3
"575",-4
"576",7
"577",5
"578",6
"579",6
"580",3
"581",2
"582",0
"583",6
"584",1
"585",1
"586",3
"587",-1
"588",-1
"589",7
"590",3
"591",3
"592",3
"593",7
"594",8
"595",3
"596",5
"597",5
"598",6
"599",2
"600",1
